0.18668	0.55709	-0.33209	0.20433	-0.075139	-0.00080611	0.0071606	0.68623	-0.16165	-0.0050383	8.4705e-05
0.32232	-0.2541	-0.2785	-0.066488	-0.31668	-0.47895	0.023148	-0.17635	-0.61619	0.088898	-0.025682
0.31395	0.17614	0.41197	-0.33405	-0.27555	0.050939	0.57195	0.031852	0.0020747	-0.40857	-0.12456
0.3384	0.066653	0.30339	-0.023129	0.53856	-0.34393	0.25801	0.081865	0.061887	0.52973	0.14971
0.32359	0.19116	0.31302	-0.21176	-0.43253	0.30209	-0.48569	-0.064075	0.014666	0.42268	0.13677
0.34948	0.088701	0.23012	0.053999	0.3904	-0.16556	-0.55999	-0.053367	-0.11082	-0.52854	-0.16194
0.31488	-0.25925	0.045335	0.51144	-0.075946	0.23398	0.099536	0.012256	0.10801	0.18436	-0.67364
0.31542	-0.25914	0.045082	0.50907	-0.066729	0.21546	0.11658	-0.01225	0.012167	-0.21315	0.67968
0.18123	0.56499	-0.34239	0.15802	0.042433	0.016392	0.12689	-0.67845	0.16496	0.0074073	3.1441e-06
0.29398	-0.19744	-0.39638	-0.43973	0.38704	0.57789	0.070695	0.017864	-0.18668	0.012794	-0.0057023
0.32161	-0.22945	-0.34789	-0.23428	-0.16363	-0.30929	-0.10786	0.14965	0.70991	-0.082963	0.026272
